airline,year,nb_bumped,total_passengers
DELTA AIR LINES,2017,679,99796155
VIRGIN AMERICA,2017,165,6090029
JETBLUE AIRWAYS,2017,1475,27255038
UNITED AIRLINES,2017,2067,70030765
HAWAIIAN AIRLINES,2017,92,8422734
EXPRESSJET AIRLINES,2017,785,11738812
SKYWEST AIRLINES,2017,917,24516354
AMERICAN AIRLINES,2017,4517,98017132
ALASKA AIRLINES,2017,658,18817924
SOUTHWEST AIRLINES,2017,6678,115988988
FRONTIER AIRLINES,2017,540,12059943
SPIRIT AIRLINES,2017,1502,17069647
DELTA AIR LINES,2016,912,97237060
VIRGIN AMERICA,2016,77,5927938
JETBLUE AIRWAYS,2016,2140,25990828
UNITED AIRLINES,2016,2874,64438132
HAWAIIAN AIRLINES,2016,30,8154838
EXPRESSJET AIRLINES,2016,2541,16119866
SKYWEST AIRLINES,2016,2177,22575383
AMERICAN AIRLINES,2016,6598,99348093
ALASKA AIRLINES,2016,734,17725197
SOUTHWEST AIRLINES,2016,11907,112153048
FRONTIER AIRLINES,2016,688,10895052
SPIRIT AIRLINES,2016,1418,15234924
